,Q,Cap,Emp
1,378,250,270.72
2,192,101,93.6
3,27,63,7.68
4,31,129,17.15
5,417,397,201.16
6,323,338,185.28
7,56,40,27.26
8,107,64,59.52
9,1212,548,825.79
10,174,42,147.84
11,283,190,187.22
12,194,106,126.24
13,78,39,79.2
14,327,145,224.48
15,579,492,477.9
16,278,69,288.12
17,148,68,97.5
18,80,35,65.7
19,163,43,133.4
20,407,254,241.04
21,157,89,125.02
22,894,188,672.77
23,102,240,70.56
24,217,1284,94.56
25,405,335,280.12
26,245,130,92
27,31,100,9.12
28,37,191,17.76
29,526,615,213.85
30,430,504,192
31,88,63,32.43
32,130,98,62.04
33,1558,758,904.28
34,221,58,149.76
35,365,270,186.3
36,273,140,141.94
37,94,44,76.8
38,404,197,229.95
39,605,589,440
40,308,82,275.11
41,184,105,96.5
42,91,48,64.8
43,184,54,127.8
44,503,356,255.15
45,189,133,127.88
46,1124,252,699.23
47,127,309,66.27
48,290,1810,100.8
49,545,389,279.68
50,305,160,103.5
51,42,125,8.55
52,39,238,18.8
53,721,837,217.12
54,498,733,188.6
55,103,86,30.08
56,177,123,66.74
57,1860,913,922.05
58,186,75,128.34
59,452,313,217.8
60,294,151,133.86
61,70,43,66.24
62,496,241,245.25
63,628,617,396.44
64,361,86,268.14
65,194,130,98
66,120,57,64.35
67,207,67,134.32
68,593,425,271.35
69,235,176,135.9
70,1319,307,714.42
71,134,324,60.63
72,374,2334,102.24
